Comp.1,Comp.2,DPH,Temperature,SL,Cluster
-0.953585190341019,0.15806085130232012,16,24,4.815,1
0.04931395776200837,0.17136667649261458,16,24,6.067,2
0.35441037945278703,0.3078878092385358,16,24,6.443,2
0.3308077089218134,0.19344494015427907,16,24,6.393,2
0.8413015229272217,0.29931241323201974,16,24,7.06,2
1.0203194237101116,0.38019141658364897,16,24,7.327,2
-0.03178904992372959,0.2385715968746704,16,24,5.918,2
0.08778398979801293,0.10944707581719729,16,24,6.181,2
0.34264555939113894,0.31772376267754276,16,24,6.285,2
0.02148685436442687,0.21049905800365448,16,24,5.864,2
0.9951088439641123,0.1783486865423084,16,24,7.308,2
0.30357118536638167,0.3428453904803495,16,24,6.054,2
0.7814668465065285,0.4137028743676707,16,24,6.694,2
0.8451118791871194,0.3569425827332705,16,24,6.958,2
0.9040338282530295,0.4585546168327697,16,24,7.001,2
0.7980842990472908,0.31796021341770236,16,24,6.873,2
-0.10958705123134663,0.17343784201190696,16,24,5.69,2
-0.34638323041141966,0.1953021654232592,16,24,5.537,2
0.05032784872316613,0.26638054380035414,16,24,5.899,2
-0.0978328742246621,0.06370401858854649,16,24,5.826,2
-0.5604368026114823,0.06336582945050197,16,24,5.196,1
-0.7775207413519697,0.2963625083556318,16,24,4.981,1
-0.2720580362380264,0.193812278448823,16,24,5.418,2
-0.6439484352608966,0.1797950899013415,16,24,5.11,1
-0.7172922200799358,0.014219320053323966,16,24,5.023,1
0.17084285698055038,0.11973788872504618,16,24,6.089,2
-0.6391387392474518,0.2124966383216255,16,24,5.146,1
-0.11456929582339616,0.23010048413768494,16,24,5.947,2
-0.5707580026961995,0.19707464393530277,16,24,5.222,1
-0.61944348919457215,0.0758638859991636,16,24,5.13,1
0.4395781422998945,0.2515539414963944,16,24,6.508,2
-0.10075688149503842,0.3183644802664005,16,24,5.96,2
0.17203111968976792,0.11428398497406632,16,24,6.131,2
-1.17414694612381,-0.05206346075084324,16,24,4.28,1
-0.1593443523913124,0.3459316317711834,16,24,5.754,2
-0.377760838097231,0.2602960130292429,16,24,5.27,1
-0.16374303991097536,0.1877419520658412,16,24,5.553,2
0.4486263408731079,0.42659780523583557,16,24,6.309,2
0.019106905185417678,0.2276355736453739,16,24,5.763,2
0.03427744012170337,0.24139456320271888,16,24,6.018,2
0.9579643102950334,0.3002437558305822,16,24,7.108,2
1.2865648210801373,0.1913876036281359,16,24,7.247,2
0.4456612197986687,0.19490339093086553,16,24,6.326,2
0.07401720347024847,0.16234598328973793,16,24,5.895,2
-0.442107587699681,0.07572066826198628,16,24,5.284,1
-0.06609166857318075,0.14956866991182519,16,24,5.86,2
1.0051885520061943,0.18190760770574138,20,24,7.047,2
-0.4810227941811021,0.15232002413791226,20,24,5.21,1
-0.9122166236808749,0.07675503765985274,20,24,4.553,1
-0.8950682300151933,-0.040504656422227704,20,24,4.633,1
